"Date","Price","Open","High","Low","Vol.","Change %"
"08/28/2007","855.25","850.00","860.00","848.25","13.66K","-0.15%"
"08/27/2007","856.50","845.00","857.25","837.25","12.30K","0.88%"
"08/24/2007","849.00","840.25","850.50","838.50","9.68K","0.83%"
"08/23/2007","842.00","831.00","852.00","831.00","6.59K","1.29%"
"08/22/2007","831.25","815.75","834.50","815.75","7.10K","1.90%"
"08/21/2007","815.75","811.50","824.25","811.50","9.54K","0.49%"
"08/20/2007","811.75","806.00","813.50","804.00","3.59K","0.03%"
"08/17/2007","811.50","799.25","814.00","798.25","8.34K","1.53%"
"08/16/2007","799.25","838.25","838.25","789.00","19.24K","-4.74%"
"08/15/2007","839.00","848.75","855.00","835.75","5.39K","-1.29%"
"08/14/2007","850.00","860.00","862.00","845.50","0.41K","-1.28%"
"08/13/2007","861.00","859.25","866.00","859.00","1.60K","1.29%"
"08/10/2007","850.00","840.75","859.00","840.75","1.04K","-0.93%"
"08/09/2007","858.00","857.00","858.00","848.75","2.00K","0.35%"
"08/08/2007","855.00","838.00","855.00","838.00","3.54K","1.97%"
"08/07/2007","838.50","826.75","839.50","824.00","5.11K","1.51%"
"08/06/2007","826.00","825.00","829.00","817.00","7.09K","-1.55%"
"08/03/2007","839.00","833.00","841.25","833.00","8.74K","0.96%"
"08/02/2007","831.00","827.00","835.50","826.75","11.17K","0.64%"
"08/01/2007","825.75","834.50","843.00","823.50","18.04K","-0.99%"
"07/31/2007","834.00","823.50","838.00","823.50","27.06K","1.37%"
"07/30/2007","822.75","818.00","825.00","815.50","43.52K","0.89%"
"07/27/2007","815.50","821.00","824.00","811.50","24.30K","-0.73%"
"07/26/2007","821.50","815.00","830.75","808.75","19.42K","0.80%"
"07/25/2007","815.00","821.00","825.00","814.00","17.03K","-0.64%"
"07/24/2007","820.25","818.00","828.00","813.50","14.65K","0.49%"
"07/23/2007","816.25","843.75","843.75","809.25","19.26K","-4.00%"
"07/20/2007","850.25","858.00","868.00","843.25","10.79K","-0.67%"
"07/19/2007","856.00","852.50","862.25","837.00","14.18K","0.56%"
"07/18/2007","851.25","835.00","852.50","835.00","19.61K","2.10%"
"07/17/2007","833.75","861.75","874.00","828.50","21.42K","-4.36%"
"07/16/2007","871.75","908.00","908.00","871.75","13.95K","-4.52%"
"07/13/2007","913.00","908.00","915.00","900.00","0.44K","0.33%"
"07/12/2007","910.00","895.00","910.00","892.00","3.26K","2.13%"
"07/11/2007","891.00","885.75","896.00","885.50","4.96K","0.22%"
"07/10/2007","889.00","865.00","889.00","865.00","10.24K","2.18%"
"07/09/2007","870.00","861.00","873.00","855.00","9.77K","0.61%"
"07/06/2007","864.75","857.25","866.00","857.25","5.65K","1.20%"
"07/05/2007","854.50","860.00","863.00","850.00","15.98K","0.47%"
"07/03/2007","850.50","865.50","866.50","849.00","7.60K","-1.68%"
"07/02/2007","865.00","854.25","871.25","850.00","25.88K","1.76%"
"06/29/2007","850.00","810.00","878.50","807.75","54.14K","4.97%"
"06/28/2007","809.75","803.50","811.50","800.75","48.61K","0.78%"
"06/27/2007","803.50","804.50","811.00","794.75","40.70K","-0.43%"
"06/26/2007","807.00","803.25","811.75","798.75","42.02K","0.34%"
"06/25/2007","804.25","800.00","805.50","793.75","55.20K","0.91%"
"06/22/2007","797.00","820.00","821.75","791.75","63.21K","-2.63%"
"06/21/2007","818.50","842.25","847.75","813.25","56.53K","-2.44%"
"06/20/2007","839.00","828.50","852.00","828.50","62.93K","1.21%"
"06/19/2007","829.00","855.00","856.50","826.75","65.33K","-3.07%"
"06/18/2007","855.25","857.25","863.00","845.50","51.96K","0.94%"
"06/15/2007","847.25","828.75","848.00","827.00","49.52K","2.39%"
"06/14/2007","827.50","824.75","837.75","823.25","61.94K","0.21%"
"06/13/2007","825.75","826.25","828.75","815.00","92.72K","-0.09%"
"06/12/2007","826.50","826.25","832.50","822.75","81.75K","-0.42%"
"06/11/2007","830.00","838.00","848.75","822.25","98.35K","1.03%"
"06/08/2007","821.50","834.25","835.75","806.75","114.08K","-1.26%"
"06/07/2007","832.00","822.50","833.00","818.75","89.55K","1.19%"
"06/06/2007","822.25","828.50","834.50","816.00","86.98K","-0.72%"
"06/05/2007","828.25","822.00","830.00","816.75","93.06K","1.53%"
"06/04/2007","815.75","817.25","823.40","813.40","65.51K","-0.21%"
"06/01/2007","817.50","807.50","819.50","805.00","82.54K","1.40%"
"05/31/2007","806.25","807.50","816.00","799.00","82.57K","-0.25%"
"05/30/2007","808.25","797.00","810.75","791.75","80.90K","1.35%"
"05/29/2007","797.50","809.00","813.75","796.75","65.97K","-1.85%"
"05/25/2007","812.50","804.00","814.25","803.50","55.86K","0.90%"
"05/24/2007","805.25","801.75","809.50","800.25","68.17K","0.59%"
"05/23/2007","800.50","789.50","803.00","788.00","58.05K","0.91%"
"05/22/2007","793.25","798.00","802.00","791.00","59.86K","-0.91%"
"05/21/2007","800.50","790.00","803.00","787.50","62.05K","1.01%"
"05/18/2007","792.50","796.00","797.00","790.25","43.00K","-0.03%"
"05/17/2007","792.75","792.75","796.75","786.50","59.93K","0.00%"
"05/16/2007","792.75","777.50","796.50","777.25","105.50K","1.90%"
"05/15/2007","778.00","766.75","781.75","765.50","68.69K","2.07%"
"05/14/2007","762.25","754.00","762.25","752.75","0.41K","1.63%"
"05/11/2007","750.00","733.00","755.00","733.00","0.69K","2.32%"
"05/10/2007","733.00","734.00","736.00","732.00","1.62K","-0.10%"
"05/09/2007","733.75","730.75","735.00","730.00","2.24K","1.07%"
"05/08/2007","726.00","730.00","733.00","722.00","5.09K","-0.41%"
"05/07/2007","729.00","736.50","736.50","725.00","4.40K","-0.61%"
"05/04/2007","733.50","735.00","739.00","730.00","8.19K","-0.03%"
"05/03/2007","733.75","730.50","743.50","730.50","9.67K","-0.07%"
"05/02/2007","734.25","739.00","744.25","732.50","13.01K","-0.94%"
"05/01/2007","741.25","728.50","743.75","724.50","17.58K","1.75%"
"04/30/2007","728.50","722.75","735.25","717.50","30.82K","0.76%"
"04/27/2007","723.00","718.00","726.50","717.25","42.69K","0.66%"
"04/26/2007","718.25","721.25","726.50","717.00","30.61K","-0.45%"
"04/25/2007","721.50","709.50","733.00","708.50","26.36K","1.66%"
"04/24/2007","709.75","720.00","721.25","709.25","21.34K","-1.59%"
"04/23/2007","721.25","723.25","725.25","716.00","26.37K","-0.28%"
"04/20/2007","723.25","717.75","725.00","714.50","25.02K","0.70%"
"04/19/2007","718.25","714.75","724.00","714.50","27.56K","0.38%"
"04/18/2007","715.50","722.00","724.00","713.50","41.24K","-1.17%"
"04/17/2007","724.00","735.50","737.75","722.50","40.02K","-1.63%"
"04/16/2007","736.00","733.25","742.25","730.25","39.15K","-0.27%"
"04/13/2007","738.00","738.00","746.00","732.75","76.74K","-0.03%"
"04/12/2007","738.25","744.00","746.75","732.00","108.15K","-1.11%"
"04/11/2007","746.50","744.25","750.00","741.50","76.42K","0.54%"
"04/10/2007","742.50","749.25","753.00","740.00","96.59K","-0.87%"
"04/09/2007","749.00","765.50","775.00","748.50","101.92K","-1.51%"
"04/05/2007","760.50","761.75","765.50","758.00","31.99K","-0.07%"
"04/04/2007","761.00","764.25","772.75","760.00","69.39K","-0.36%"
"04/03/2007","763.75","778.50","782.75","760.75","68.72K","-1.96%"
"04/02/2007","779.00","756.50","787.00","751.25","132.40K","2.33%"
"03/30/2007","761.25","776.00","779.00","742.00","113.51K","-2.18%"
"03/29/2007","778.25","770.50","779.00","767.00","63.20K","0.97%"
"03/28/2007","770.75","757.00","772.25","756.50","61.48K","1.82%"
"03/27/2007","757.00","758.00","761.75","754.75","37.35K","-0.20%"
"03/26/2007","758.50","767.50","769.00","752.00","60.64K","-1.43%"
"03/23/2007","769.50","771.00","775.00","769.00","46.61K","-0.29%"
"03/22/2007","771.75","766.00","772.00","763.50","41.87K","0.68%"
"03/21/2007","766.50","766.25","773.00","764.25","50.46K","0.23%"
"03/20/2007","764.75","759.50","765.50","756.50","47.69K","0.69%"
"03/19/2007","759.50","756.25","760.25","749.50","54.05K","0.80%"
"03/16/2007","753.50","749.00","758.50","744.75","71.68K","0.40%"
"03/15/2007","750.50","754.25","759.00","748.75","40.42K","1.90%"
"03/14/2007","736.50","741.00","742.00","735.00","0.60K","-1.01%"
"03/13/2007","744.00","753.00","758.00","742.00","0.74K","-1.10%"
"03/12/2007","752.25","747.50","755.50","744.75","1.96K","0.77%"
"03/09/2007","746.50","745.00","747.50","737.50","2.34K","0.20%"
"03/08/2007","745.00","747.50","752.00","744.00","3.27K","0.30%"
"03/07/2007","742.75","732.75","748.25","731.50","6.08K","1.33%"
"03/06/2007","733.00","736.00","739.00","731.50","7.16K","-0.37%"
"03/05/2007","735.75","735.00","737.00","724.50","9.84K","-0.44%"
"03/02/2007","739.00","747.00","748.00","735.75","17.24K","-0.97%"
"03/01/2007","746.25","773.00","773.50","740.00","24.86K","-3.49%"
"02/28/2007","773.25","762.75","774.00","757.25","29.04K","1.28%"
"02/27/2007","763.50","778.00","779.50","756.00","46.59K","-1.96%"
"02/26/2007","778.75","778.50","790.00","777.00","32.92K","0.06%"
"02/23/2007","778.25","782.00","786.75","775.25","29.76K","-0.70%"
"02/22/2007","783.75","780.75","791.00","779.75","45.34K","0.32%"
"02/21/2007","781.25","770.75","788.25","764.75","47.03K","1.33%"
"02/20/2007","771.00","766.75","772.25","762.50","39.69K","0.52%"
"02/16/2007","767.00","758.75","768.50","754.00","72.65K","1.09%"
"02/15/2007","758.75","752.25","759.50","751.25","87.11K","1.10%"
"02/14/2007","750.50","755.50","757.50","748.50","71.42K","-0.60%"
"02/13/2007","755.00","744.25","756.00","743.25","75.51K","1.31%"
"02/12/2007","745.25","748.25","752.00","741.00","66.63K","-0.53%"
"02/09/2007","749.25","746.75","757.00","733.75","119.44K","0.74%"
