"Date","Price","Open","High","Low","Vol.","Change %"
"03/03/2006","11,021.59","11,024.23","11,106.68","10,984.61","365.75M","-0.04%"
"03/02/2006","11,025.51","11,052.57","11,052.57","10,986.05","274.28M","-0.25%"
"03/01/2006","11,053.53","10,993.25","11,069.38","10,991.97","270.62M","0.55%"
"02/28/2006","10,993.41","11,096.75","11,100.19","10,978.61","325.45M","-0.94%"
"02/27/2006","11,097.55","11,062.81","11,132.61","11,061.73","268.61M","0.32%"
"02/24/2006","11,061.85","11,065.77","11,085.54","11,010.22","247.27M","-0.07%"
"02/23/2006","11,069.22","11,133.52","11,135.89","11,052.73","270.40M","-0.61%"
"02/22/2006","11,137.17","11,065.29","11,159.18","11,060.33","337.28M","0.62%"
"02/21/2006","11,069.06","11,115.48","11,140.77","11,050.81","270.41M","-0.42%"
"02/17/2006","11,115.32","11,119.56","11,131.95","11,077.70","329.16M","-0.05%"
"02/16/2006","11,120.68","11,059.05","11,120.76","11,046.40","302.98M","0.56%"
"02/15/2006","11,058.97","11,025.67","11,068.74","10,989.72","298.85M","0.28%"
"02/14/2006","11,028.39","10,890.72","11,047.68","10,890.72","307.06M","1.25%"
"02/13/2006","10,892.32","10,915.21","10,939.86","10,849.89","244.33M","-0.24%"
"02/10/2006","10,919.05","10,883.51","10,944.99","10,820.20","303.57M","0.33%"
"02/09/2006","10,883.35","10,859.42","10,952.27","10,855.74","314.19M","0.23%"
"02/08/2006","10,858.62","10,742.16","10,865.42","10,740.63","330.08M","1.01%"
"02/07/2006","10,749.76","10,796.42","10,822.76","10,737.67","351.88M","-0.45%"
"02/06/2006","10,798.27","10,793.30","10,814.51","10,770.97","263.19M","0.04%"
"02/03/2006","10,793.62","10,849.57","10,863.58","10,779.06","346.60M","-0.54%"
"02/02/2006","10,851.98","10,950.11","10,950.11","10,827.16","314.19M","-0.93%"
"02/01/2006","10,953.95","10,862.14","10,967.57","10,852.82","333.58M","0.82%"
"01/31/2006","10,864.86","10,900.40","10,923.45","10,862.14","369.37M","-0.32%"
"01/30/2006","10,899.92","10,908.49","10,930.50","10,887.44","323.69M","-0.07%"
"01/27/2006","10,907.21","10,815.32","10,932.34","10,804.75","398.81M","0.90%"
"01/26/2006","10,809.47","10,711.02","10,827.96","10,710.94","400.55M","0.93%"
"01/25/2006","10,709.74","10,713.26","10,760.57","10,672.60","412.46M","-0.02%"
"01/24/2006","10,712.22","10,690.21","10,750.31","10,686.04","375.98M","0.22%"
"01/23/2006","10,688.77","10,668.75","10,737.04","10,666.35","366.09M","0.20%"
"01/20/2006","10,667.39","10,880.71","10,880.71","10,661.15","449.34M","-1.96%"
"01/19/2006","10,880.71","10,855.18","10,915.95","10,852.13","370.97M","0.24%"
"01/18/2006","10,854.86","10,890.08","10,890.08","10,817.32","356.07M","-0.38%"
"01/17/2006","10,896.32","10,957.55","10,957.87","10,875.60","251.47M","-0.58%"
"01/13/2006","10,959.87","10,961.48","10,992.69","10,921.53","209.95M","-0.02%"
"01/12/2006","10,962.36","11,043.12","11,045.84","10,951.23","244.89M","-0.73%"
"01/11/2006","11,043.44","11,011.66","11,047.76","10,991.97","266.27M","0.29%"
"01/10/2006","11,011.58","11,010.46","11,013.98","10,949.87","264.27M","0.00%"
"01/09/2006","11,011.90","10,959.47","11,020.15","10,944.43","248.24M","0.48%"
"01/06/2006","10,959.31","10,875.45","10,968.84","10,875.45","291.74M","0.71%"
"01/05/2006","10,882.15","10,880.39","10,908.25","10,843.65","250.91M","0.02%"
"01/04/2006","10,880.15","10,843.97","10,892.64","10,833.90","271.49M","0.30%"
"01/03/2006","10,847.41","10,718.30","10,862.78","10,684.45","302.95M","1.21%"
"12/30/2005","10,717.50","10,783.86","10,783.86","10,709.42","191.02M","-0.62%"
"12/29/2005","10,784.82","10,795.70","10,825.24","10,779.22","160.01M","-0.11%"
"12/28/2005","10,796.26","10,778.25","10,825.16","10,778.25","153.23M","0.17%"
"12/27/2005","10,777.77","10,883.75","10,932.82","10,776.49","174.19M","-0.97%"
"12/23/2005","10,883.27","10,883.27","10,904.80","10,869.83","126.72M","-0.06%"
"12/22/2005","10,889.44","10,831.56","10,891.04","10,829.16","229.50M","0.51%"
"12/21/2005","10,833.73","10,805.63","10,900.89","10,805.63","257.85M","0.26%"
"12/20/2005","10,805.55","10,836.93","10,860.14","10,789.62","254.44M","-0.29%"
"12/19/2005","10,836.53","10,875.51","10,922.41","10,825.64","331.17M","-0.36%"
"12/16/2005","10,875.59","10,881.67","10,940.34","10,869.27","419.04M","-0.06%"
"12/15/2005","10,881.67","10,883.43","10,938.74","10,865.42","297.56M","-0.02%"
"12/14/2005","10,883.51","10,821.32","10,919.77","10,820.32","336.44M","0.55%"
"12/13/2005","10,823.72","10,765.69","10,871.51","10,751.36","329.05M","0.52%"
"12/12/2005","10,767.77","10,778.66","10,811.71","10,735.11","254.13M","-0.10%"
"12/09/2005","10,778.58","10,751.76","10,805.95","10,729.91","238.93M","0.22%"
"12/08/2005","10,755.12","10,808.43","10,847.25","10,729.67","253.29M","-0.52%"
"12/07/2005","10,810.91","10,856.86","10,868.06","10,764.01","243.49M","-0.42%"
"12/06/2005","10,856.86","10,835.41","10,924.90","10,835.41","264.63M","0.20%"
"12/05/2005","10,835.01","10,876.95","10,876.95","10,810.67","237.34M","-0.39%"
"12/02/2005","10,877.51","10,912.01","10,921.37","10,861.66","214.90M","-0.32%"
"12/01/2005","10,912.57","10,806.03","10,934.90","10,806.03","256.98M","0.99%"
"11/30/2005","10,805.87","10,883.91","10,924.82","10,803.87","257.65M","-0.76%"
"11/29/2005","10,888.16","10,888.48","10,959.79","10,888.07","255.25M","-0.02%"
"11/28/2005","10,890.72","10,932.74","10,951.93","10,881.63","259.36M","-0.37%"
"11/25/2005","10,931.62","10,915.13","10,955.48","10,914.49","122.46M","0.14%"
"11/23/2005","10,916.09","10,871.43","10,950.75","10,855.34","236.73M","0.41%"
"11/22/2005","10,871.43","10,815.96","10,877.43","10,787.22","311.19M","0.47%"
"11/21/2005","10,820.28","10,766.33","10,835.33","10,761.05","250.28M","0.50%"
"11/18/2005","10,766.33","10,719.34","10,796.26","10,697.25","351.04M","0.43%"
"11/17/2005","10,720.22","10,677.00","10,727.67","10,665.55","274.32M","0.43%"
"11/16/2005","10,674.76","10,683.03","10,712.22","10,652.27","286.00M","-0.11%"
"11/15/2005","10,686.44","10,697.01","10,741.99","10,664.27","267.50M","-0.10%"
"11/14/2005","10,697.17","10,686.60","10,710.06","10,674.28","211.29M","0.10%"
"11/11/2005","10,686.04","10,641.30","10,696.45","10,637.43","195.88M","0.43%"
"11/10/2005","10,640.10","10,541.16","10,655.53","10,519.39","293.35M","0.89%"
"11/09/2005","10,546.21","10,539.24","10,601.92","10,519.55","244.43M","0.06%"
"11/08/2005","10,539.72","10,574.18","10,574.22","10,524.28","201.77M","-0.44%"
"11/07/2005","10,586.23","10,531.24","10,593.35","10,520.43","241.26M","0.53%"
"11/04/2005","10,530.76","10,523.23","10,552.38","10,479.39","230.87M","0.08%"
"11/03/2005","10,522.59","10,470.49","10,561.16","10,470.49","320.90M","0.48%"
"11/02/2005","10,472.73","10,406.29","10,493.54","10,388.76","279.71M","0.63%"
"11/01/2005","10,406.77","10,437.51","10,455.28","10,406.04","293.78M","-0.32%"
"10/31/2005","10,440.07","10,403.17","10,486.65","10,403.17","320.08M","0.36%"
"10/28/2005","10,402.77","10,231.15","10,404.70","10,231.15","283.06M","1.69%"
"10/27/2005","10,229.95","10,344.74","10,349.22","10,229.95","236.49M","-1.11%"
"10/26/2005","10,344.98","10,377.39","10,434.47","10,336.82","266.81M","-0.32%"
"10/25/2005","10,377.87","10,383.88","10,411.65","10,316.88","246.96M","-0.07%"
"10/24/2005","10,385.00","10,216.11","10,387.00","10,216.11","263.69M","1.66%"
"10/21/2005","10,215.22","10,282.22","10,350.98","10,193.45","357.93M","-0.64%"
"10/20/2005","10,281.10","10,411.73","10,432.78","10,252.13","334.85M","-1.28%"
"10/19/2005","10,414.13","10,277.18","10,414.13","10,232.98","316.88M","1.25%"
"10/18/2005","10,285.26","10,349.14","10,361.47","10,285.26","297.59M","-0.61%"
"10/17/2005","10,348.10","10,287.42","10,350.99","10,269.81","242.88M","0.59%"
"10/14/2005","10,287.34","10,216.59","10,291.91","10,200.10","238.95M","0.69%"
"10/13/2005","10,216.59","10,216.91","10,241.32","10,156.46","270.36M","0.00%"
"10/12/2005","10,216.91","10,253.81","10,308.88","10,186.09","293.42M","-0.35%"
"10/11/2005","10,253.17","10,239.16","10,312.88","10,234.20","261.00M","0.14%"
"10/10/2005","10,238.76","10,292.95","10,323.12","10,237.80","236.54M","-0.52%"
"10/07/2005","10,292.31","10,287.42","10,347.30","10,280.62","237.34M","0.05%"
"10/06/2005","10,287.10","10,317.36","10,369.55","10,218.09","316.44M","-0.29%"
"10/05/2005","10,317.36","10,434.81","10,438.47","10,316.16","266.72M","-1.19%"
"10/04/2005","10,441.11","10,534.36","10,567.82","10,434.79","301.84M","-0.90%"
"10/03/2005","10,535.48","10,569.50","10,608.56","10,523.63","239.19M","-0.31%"
"09/30/2005","10,568.70","10,552.70","10,569.81","10,526.12","222.16M","0.15%"
"09/29/2005","10,552.78","10,472.61","10,563.37","10,418.01","236.02M","0.76%"
"09/28/2005","10,473.09","10,456.61","10,512.10","10,423.98","238.74M","0.16%"
"09/27/2005","10,456.21","10,444.58","10,496.25","10,415.62","224.96M","0.12%"
"09/26/2005","10,443.63","10,420.22","10,509.23","10,410.11","234.32M","0.23%"
"09/23/2005","10,419.59","10,421.81","10,455.81","10,372.06","238.03M","-0.02%"
"09/22/2005","10,422.05","10,376.20","10,444.51","10,350.96","254.26M","0.42%"
"09/21/2005","10,378.03","10,484.23","10,484.55","10,375.24","266.65M","-0.99%"
"09/20/2005","10,481.52","10,558.19","10,604.76","10,467.11","244.56M","-0.72%"
"09/19/2005","10,557.63","10,641.87","10,644.57","10,521.18","233.53M","-0.79%"
"09/16/2005","10,641.94","10,560.50","10,647.36","10,560.42","546.94M","0.79%"
"09/15/2005","10,558.75","10,545.85","10,582.07","10,520.93","225.35M","0.13%"
"09/14/2005","10,544.90","10,597.52","10,633.19","10,536.62","216.30M","-0.50%"
"09/13/2005","10,597.44","10,673.71","10,674.03","10,595.29","222.62M","-0.80%"
"09/12/2005","10,682.94","10,678.41","10,701.81","10,664.09","201.19M","0.04%"
"09/09/2005","10,678.56","10,594.10","10,695.92","10,593.94","247.14M","0.78%"
"09/08/2005","10,595.93","10,633.11","10,636.49","10,569.34","222.99M","-0.35%"
"09/07/2005","10,633.50","10,588.68","10,640.43","10,573.95","226.79M","0.42%"
"09/06/2005","10,589.24","10,447.69","10,593.06","10,447.69","233.67M","1.36%"
"09/02/2005","10,447.37","10,460.67","10,497.45","10,434.71","204.49M","-0.12%"
"09/01/2005","10,459.63","10,481.44","10,513.76","10,425.80","278.99M","-0.21%"
"08/31/2005","10,481.60","10,409.08","10,484.79","10,356.87","281.20M","0.66%"
"08/30/2005","10,412.82","10,461.54","10,461.54","10,350.00","234.65M","-0.48%"
"08/29/2005","10,463.05","10,396.90","10,487.50","10,349.37","202.97M","0.63%"
"08/26/2005","10,397.29","10,450.95","10,450.95","10,383.98","192.10M","-0.51%"
"08/25/2005","10,450.63","10,434.39","10,465.36","10,428.34","188.10M","0.15%"
"08/24/2005","10,434.87","10,519.34","10,559.00","10,432.08","256.64M","-0.81%"
"08/23/2005","10,519.58","10,571.01","10,577.46","10,496.73","210.67M","-0.48%"
"08/22/2005","10,569.89","10,559.78","10,641.15","10,523.96","215.57M","0.10%"
"08/19/2005","10,559.23","10,552.70","10,626.26","10,552.70","219.83M","0.04%"
"08/18/2005","10,554.93","10,549.75","10,592.90","10,517.43","213.90M","0.04%"
"08/17/2005","10,550.71","10,505.60","10,588.93","10,503.37","235.03M","0.35%"
"08/16/2005","10,513.45","10,631.59","10,640.27","10,510.34","232.52M","-1.14%"
"08/15/2005","10,634.38","10,599.19","10,655.08","10,557.87","173.34M","0.32%"
"08/12/2005","10,600.31","10,682.70","10,682.78","10,568.30","218.89M","-0.80%"
"08/11/2005","10,685.89","10,591.83","10,685.89","10,588.52","234.25M","0.86%"
"08/10/2005","10,594.41","10,606.52","10,719.41","10,570.05","258.42M","-0.20%"
"08/09/2005","10,615.67","10,537.65","10,639.08","10,537.65","207.46M","0.75%"
"08/08/2005","10,536.93","10,557.24","10,606.04","10,524.91","185.88M","-0.20%"
"08/05/2005","10,558.03","10,610.34","10,610.81","10,554.45","218.24M","-0.49%"
"08/04/2005","10,610.10","10,696.80","10,696.88","10,606.67","230.60M","-0.82%"
"08/03/2005","10,697.59","10,681.51","10,698.07","10,638.48","237.65M","0.13%"
"08/02/2005","10,683.74","10,623.79","10,699.19","10,623.47","241.69M","0.57%"
"08/01/2005","10,623.15","10,641.78","10,672.36","10,610.89","192.79M","-0.17%"
"07/29/2005","10,640.91","10,705.16","10,717.73","10,640.91","215.28M","-0.60%"
"07/28/2005","10,705.55","10,633.50","10,710.48","10,629.68","220.17M","0.64%"
"07/27/2005","10,637.09","10,579.45","10,645.92","10,577.38","213.22M","0.54%"
"07/26/2005","10,579.77","10,597.60","10,626.00","10,572.92","220.39M","-0.16%"
"07/25/2005","10,596.48","10,651.66","10,686.53","10,591.55","190.25M","-0.51%"
"07/22/2005","10,651.18","10,624.19","10,658.58","10,588.05","231.48M","0.22%"
"07/21/2005","10,627.77","10,690.03","10,700.06","10,608.43","281.75M","-0.57%"
